,child value,parent value,action effect,child action
0,218.56424,204.89879,0.12217983,-0.03216056
1,221.67958,206.07149,0.20458905,0.22715501
2,222.2138,206.75063,0.21820289,0.29252627
3,222.86821,206.39497,-0.16588837,0.20365591
4,223.8882,208.7412,-0.10336274,0.49630475
5,225.32936,208.79651,-0.29070094,-0.26826295
6,226.82574,207.07999,0.13346092,0.13346092
7,229.0961,208.94574,0.000328521,0.48794058
8,229.4905,210.05247,0.000328521,0.30344263
9,232.19583,211.47507,0.09968859,0.09968856
10,232.81111,210.15996,0.074323155,0.074323155
11,234.7585,211.62498,0.19722052,0.21622598
12,235.3824,211.46976,-0.004401287,0.101772785
13,237.32,212.56425,0.19819705,0.19819705
14,237.26616,212.19319,-0.04412542,0.001209378
15,238.89343,213.04622,0.14332882,0.1433288
16,239.60263,212.10794,0.020473978,0.020473978
17,239.4878,213.44597,-0.1172125,0.005327145
18,241.924,213.7951,0.21567874,0.25401613
19,241.66321,213.68297,0.06120825,0.06120825
20,242.62274,213.56685,0.03539012,0.04739539
21,243.6548,213.35507,-0.10205243,0.035508275
22,244.69537,213.94724,0.091284074,0.09128406
23,245.47664,214.22119,-0.34867632,-0.34867632
24,246.75774,214.41782,0.000556598,0.000556608
25,247.57848,214.99516,0.03509587,0.14315967
26,248.74297,215.01048,-0.05554847,0.02203551
27,249.65498,215.40639,0.20320414,0.20320414
28,250.6108,215.99507,0.3190106,0.3190106
29,251.94212,216.04268,-0.009191543,0.21731609
30,252.59918,216.65123,0.09631523,0.29258808
31,254.70876,216.75883,0.19854301,0.27334127
32,254.55336,216.7775,0.16973977,0.16973977
33,256.95163,216.6647,0.12928052,0.349736
34,257.65463,216.35432,0.11784929,0.28730938
35,258.5424,216.29808,0.17969422,0.3104662
36,259.32825,217.37103,-0.054430287,0.03588267
37,261.4062,216.92151,0.09119255,0.16332228
38,262.078,219.02826,-0.08073362,0.21969254
39,262.7411,219.56451,-0.3099917,-0.037736714
40,264.46323,219.58287,-0.052576274,-0.019870332
41,264.12198,220.06606,-0.28395084,-0.03725187
42,265.86197,220.01608,-0.12691273,-0.0858044
