,child value,parent value,action effect,child action
0,268.27338,80.8126,-0.1721454,-0.1721454
1,268.08133,80.52505,-0.14217238,-0.14217238
2,268.0271,80.49581,-0.06636866,-0.06636866
3,268.77145,79.962685,-0.11823506,-0.11823506
4,269.3924,80.41857,-0.18404414,-0.18404414
5,267.33652,79.5864,-0.14776817,-0.14776817
6,266.54733,80.73531,-0.13418248,-0.13418248
7,266.3974,80.84518,-0.119283676,-0.119283676
8,263.02423,80.814995,-0.0229736,-0.022973599
9,265.1563,80.36361,-0.0495961,-0.049596105
10,268.94772,81.443306,-0.09909336,-0.09909336
11,267.26996,80.39514,-0.06828472,-0.06828473
12,263.8775,80.71696,-0.0941502,-0.09415021
13,264.2528,80.60377,-0.075100236,-0.075100236
14,263.14377,80.0584,-0.037412785,-0.037412785
15,262.70288,80.33644,-0.05074622,-0.05074622
16,262.98572,80.54386,-0.04390668,-0.04390668
17,263.27972,80.65191,-0.025832212,-0.02583221
18,262.14743,80.34203,-0.05618386,-0.056183856
19,261.87,80.366806,-0.046272244,-0.04627224
20,262.0448,80.16001,-0.040000852,-0.04000085
21,262.66193,80.138466,-0.04666971,-0.04666971
22,262.861,80.22719,-0.03991597,-0.03991597
23,262.98883,80.28345,-0.035828583,-0.035828583
24,263.30603,80.26356,-0.039270625,-0.039270625
25,263.6692,80.27911,-0.03774502,-0.03774502
26,264.20465,80.2266,-0.038229145,-0.038229145
27,264.58038,80.23394,-0.039305367,-0.039305367
28,264.83453,80.24961,-0.036453806,-0.036453806
29,265.25385,80.25029,-0.035327308,-0.035327308
30,265.74158,80.24868,-0.034945432,-0.034945432
31,266.17923,80.23931,-0.03466801,-0.03466801
32,266.73294,80.22578,-0.034583,-0.034583
33,267.35736,80.21508,-0.034634084,-0.034634084
34,267.8965,80.210335,-0.033311218,-0.033311218
35,268.31592,80.20149,-0.0329727,-0.0329727
36,268.72748,80.19345,-0.032042854,-0.032042854
37,269.2207,80.18963,-0.032561135,-0.032561135
38,269.7282,80.193565,-0.032364804,-0.032364804
39,270.2812,80.181725,-0.032963198,-0.032963198
40,270.83575,80.1654,-0.03237654,-0.03237654
41,271.41467,80.1482,-0.032682523,-0.032682523
42,271.93628,80.14043,-0.031262733,-0.031262733
43,272.51196,80.132866,-0.03045689,-0.030456888
44,273.08145,80.126045,-0.02919219,-0.02919219
45,273.6851,80.11558,-0.02798721,-0.02798721
46,274.25208,80.105934,-0.02605,-0.02605
47,274.85223,80.09179,-0.02466447,-0.024664473
48,275.4144,80.10413,-0.022526454,-0.022526454
49,276.02588,80.105835,-0.02078601,-0.02078601
50,276.63315,80.11387,-0.018223556,-0.018223556
51,277.16788,80.114296,-0.01651692,-0.01651692
52,277.63907,80.12214,-0.014452113,-0.014452114
53,278.09833,80.126686,-0.012843624,-0.012843625
54,278.4652,80.14216,-0.010456888,-0.010456888
55,278.85046,80.15097,-0.009025037,-0.009025037
56,279.1927,80.17532,-0.006514508,-0.006514508
57,279.48456,80.1855,-0.004688384,-0.004688384
58,279.76602,80.20196,-0.002369018,-0.002369019
59,280.06177,80.21084,-0.000758207,-0.000758207
60,280.3477,80.224785,0.00127814,0.00127814
61,280.60022,80.23232,0.003390874,0.003390874
62,280.8528,80.242676,0.005949495,0.005949495
63,281.09836,80.24563,0.007937839,0.007937839
64,281.32208,80.256615,0.010362635,0.010362635
65,281.4426,80.25842,0.01231314,0.01231314
66,281.5584,80.26438,0.014083878,0.014083878
67,281.66174,80.26895,0.015533188,0.015533189
68,281.7768,80.27274,0.017172534,0.017172534
69,281.88235,80.276146,0.018437285,0.018437285
70,282.0187,80.27897,0.019528251,0.019528253
71,282.08902,80.27596,0.019197527,0.019197527
72,282.16766,80.28011,0.019109493,0.019109493
73,282.22546,80.27702,0.019036863,0.019036861
74,282.24817,80.277435,0.019070156,0.019070154
75,282.3249,80.27677,0.019206464,0.019206464
76,282.4104,80.27622,0.019409819,0.019409819
77,282.4842,80.2753,0.01890928,0.01890928
78,282.53842,80.275444,0.018495113,0.018495113
79,282.51392,80.272675,0.018265279,0.018265279
80,282.4932,80.26995,0.018171433,0.018171433
81,282.449,80.26652,0.018061632,0.018061632
82,282.4536,80.261986,0.01832987,0.01832987
83,282.45813,80.25687,0.01838129,0.01838129
84,282.4717,80.259125,0.018392447,0.018392447
85,282.4853,80.26118,0.018387517,0.018387517
86,282.49646,80.26377,0.018053217,0.018053217
87,282.49213,80.262314,0.017697655,0.017697655
88,282.44977,80.25981,0.017336456,0.017336456
89,282.40262,80.2578,0.016921433,0.016921433
90,282.35468,80.2553,0.016645318,0.016645318
91,282.29352,80.25645,0.016206551,0.016206551
92,282.23798,80.25561,0.015824614,0.015824614
93,282.18365,80.25568,0.015377882,0.015377882
94,282.08942,80.25581,0.01492596,0.01492596
95,281.99393,80.257286,0.014578524,0.014578525
96,281.9294,80.26228,0.01430875,0.014308751
97,281.86896,80.26886,0.013916928,0.013916928
98,281.80933,80.27648,0.013659561,0.01365956
99,281.7529,80.284904,0.013286174,0.013286175
100,281.7003,80.29397,0.012876061,0.012876061
101,281.68066,80.30303,0.012163913,0.012163912
102,281.6669,80.31255,0.011392452,0.011392452
103,281.65393,80.3213,0.010612932,0.010612932
104,281.64142,80.330376,0.009793767,0.009793767
105,281.63034,80.33808,0.008988908,0.008988907
106,281.62573,80.34211,0.008142062,0.008142062
107,281.6068,80.34603,0.007323574,0.007323575
108,281.5782,80.34977,0.00646133,0.00646133
109,281.55115,80.35424,0.005619654,0.005619654
110,281.52808,80.358826,0.004730644,0.004730645
111,281.5067,80.363266,0.003873128,0.003873129
112,281.47876,80.36782,0.002960205,0.002960205
113,281.42453,80.37148,0.0021461,0.0021461
114,281.3803,80.3749,0.001383238,0.001383238
115,281.33734,80.37825,0.00065478,0.00065478
116,281.29797,80.381615,-0.000131375,-0.000131375
117,281.26648,80.38489,-0.000876657,-0.000876657
118,281.2424,80.388176,-0.001681571,-0.001681571
119,281.22028,80.39136,-0.002439739,-0.002439739
120,281.20166,80.39461,-0.003259058,-0.003259058
121,281.18494,80.397835,-0.004032448,-0.004032448
122,281.17123,80.400215,-0.004868595,-0.004868595
123,281.15756,80.40221,-0.005628071,-0.005628071
124,281.13116,80.40411,-0.00643412,-0.00643412
125,281.0781,80.405975,-0.007194089,-0.007194088
126,281.02213,80.40761,-0.007953542,-0.007953542
127,280.96848,80.4087,-0.008613633,-0.008613633
128,280.9168,80.40976,-0.009356426,-0.009356426
129,280.86816,80.410416,-0.00997575,-0.00997575
130,280.80035,80.40879,-0.01060934,-0.01060934
131,280.7188,80.40697,-0.011050213,-0.011050213
132,280.63654,80.405106,-0.011428893,-0.011428894
133,280.5542,80.40321,-0.011856752,-0.011856752
134,280.4536,80.400604,-0.012338466,-0.012338466
135,280.35284,80.396416,-0.012599836,-0.012599836
136,280.27255,80.3894,-0.012906794,-0.012906794
137,280.19547,80.38182,-0.013046529,-0.013046529
138,280.1292,80.373726,-0.013198599,-0.013198599
139,280.06256,80.365524,-0.013175178,-0.013175178
140,280.0174,80.35718,-0.013247124,-0.013247124
141,279.96866,80.34876,-0.013193489,-0.013193489
142,279.93103,80.33996,-0.013251415,-0.013251415
143,279.8814,80.33117,-0.01318303,-0.01318303
144,279.8075,80.3221,-0.013359221,-0.013359221
145,279.72668,80.3131,-0.013410248,-0.013410248
146,279.6565,80.303856,-0.013583398,-0.013583398
147,279.62323,80.29467,-0.013703732,-0.013703732
148,279.59943,80.28524,-0.013894915,-0.013894915
149,279.5756,80.2759,-0.013941404,-0.013941404
150,279.55853,80.26518,-0.014096927,-0.014096927
151,279.55106,80.25465,-0.014113435,-0.014113435
152,279.53784,80.24347,-0.014234035,-0.014234035
153,279.5335,80.232735,-0.014187046,-0.014187046
154,279.5438,80.221535,-0.014147998,-0.014147998
155,279.55273,80.215034,-0.013985548,-0.013985548
156,279.57855,80.207924,-0.013909098,-0.013909098
157,279.60266,80.20487,-0.013718988,-0.013718988
158,279.63306,80.20167,-0.01360938,-0.01360938
159,279.6618,80.19984,-0.013393532,-0.013393532
160,279.6963,80.19702,-0.013248018,-0.013248018
161,279.72864,80.19548,-0.012958046,-0.012958046
162,279.75674,80.19286,-0.012739289,-0.012739289
163,279.77896,80.191414,-0.012746649,-0.012746649
164,279.79556,80.189,-0.012855157,-0.012855156
165,279.8036,80.18766,-0.012843088,-0.012843088
166,279.8036,80.18545,-0.012990197,-0.012990197
