,child value,parent value,action effect,child action
0,41.954586,23.315891,0.027588509,0.027588509
1,41.954197,23.288715,0.009831429,0.009831427
2,41.983974,23.22591,-0.008561492,-0.008561492
3,41.93345,23.218925,0.005672507,0.005672507
4,41.906883,23.25029,-0.059999667,-0.059999675
5,41.91767,23.262846,-0.07692818,-0.07692818
6,41.947662,23.31821,-0.07357119,-0.07357119
7,41.93302,23.346176,-0.115134515,-0.115134515
8,41.920105,23.286991,-0.18302289,-0.18302289
9,41.847965,23.27428,-0.15844402,-0.15844402
10,41.829628,23.304562,-0.16457254,-0.16457254
11,41.807568,23.365831,-0.16768101,-0.16768101
12,41.785492,23.426943,-0.15469396,-0.15469396
13,41.775635,23.479847,-0.19384557,-0.19384557
14,41.73574,23.436087,-0.22439533,-0.22439533
15,41.676796,23.429821,-0.20683356,-0.20683357
16,41.654404,23.482836,-0.19630459,-0.19630459
17,41.632244,23.505123,-0.19534363,-0.19534363
18,41.611656,23.503792,-0.18843032,-0.18843032
19,41.599827,23.512194,-0.19023064,-0.19023062
20,41.58306,23.486958,-0.1905736,-0.1905736
21,41.561943,23.47774,-0.17860407,-0.17860407
22,41.549232,23.485313,-0.1723962,-0.1723962
23,41.54103,23.485966,-0.16610423,-0.16610423
24,41.53684,23.48785,-0.15808138,-0.15808138
25,41.538692,23.491814,-0.1539793,-0.1539793
26,41.542442,23.480495,-0.14805678,-0.14805678
27,41.545113,23.478832,-0.14378127,-0.14378127
28,41.548866,23.47603,-0.1405105,-0.1405105
29,41.552902,23.47303,-0.1374028,-0.1374028
30,41.55755,23.472569,-0.13581592,-0.13581592
31,41.563126,23.466959,-0.13510817,-0.13510817
32,41.568573,23.460209,-0.13471918,-0.13471918
33,41.57315,23.45406,-0.13506263,-0.13506263
34,41.576767,23.448204,-0.13632965,-0.13632965
35,41.57916,23.441835,-0.13732553,-0.13732553
36,41.580227,23.438702,-0.13960986,-0.13960986
37,41.580833,23.434113,-0.14140934,-0.14140934
38,41.580853,23.432127,-0.14397547,-0.14397547
39,41.579754,23.428879,-0.14590898,-0.14590898
40,41.57775,23.427252,-0.1482231,-0.1482231
41,41.574753,23.424696,-0.1500892,-0.1500892
42,41.571053,23.423706,-0.15219462,-0.15219462
43,41.566467,23.421867,-0.15378894,-0.15378894
44,41.561428,23.421368,-0.15543298,-0.15543298
45,41.556053,23.420197,-0.15669553,-0.15669553
46,41.550526,23.419556,-0.15780823,-0.15780823
47,41.544956,23.41846,-0.15864763,-0.15864763
48,41.539444,23.417427,-0.15924314,-0.15924314
49,41.534126,23.416372,-0.15964472,-0.15964472
50,41.52906,23.415154,-0.15975839,-0.15975839
51,41.524406,23.414076,-0.15982634,-0.15982634
52,41.52009,23.412447,-0.15958707,-0.15958707
53,41.516262,23.411171,-0.15940937,-0.15940937
54,41.512802,23.409214,-0.15897486,-0.15897486
55,41.509827,23.40768,-0.15865096,-0.15865096
56,41.50721,23.405556,-0.15814981,-0.15814981
57,41.505028,23.402466,-0.15778837,-0.15778837
58,41.503143,23.396751,-0.15731396,-0.15731396
59,41.501575,23.39165,-0.15699065,-0.15699065
60,41.500214,23.38623,-0.15664175,-0.15664175
61,41.499077,23.381313,-0.15642282,-0.15642282
62,41.49807,23.37632,-0.15624379,-0.15624379
63,41.497166,23.37167,-0.15615872,-0.15615872
64,41.496326,23.367147,-0.15615669,-0.15615669
65,41.495487,23.362804,-0.15620992,-0.15620992
66,41.494644,23.35873,-0.156367,-0.156367
67,41.49366,23.354694,-0.1565396,-0.1565396
68,41.49259,23.35102,-0.15680072,-0.15680072
69,41.491405,23.34728,-0.15693626,-0.15693626
70,41.490135,23.343939,-0.15713619,-0.15713619
71,41.48876,23.340477,-0.15730548,-0.15730548
72,41.487305,23.33739,-0.15752488,-0.15752488
73,41.48575,23.334146,-0.15770443,-0.15770443
74,41.484135,23.331228,-0.15791367,-0.15791367
75,41.482445,23.328156,-0.1580792,-0.1580792
76,41.480724,23.325344,-0.15825656,-0.15825656
77,41.478966,23.32241,-0.15839024,-0.15839024
78,41.477207,23.319666,-0.15852019,-0.15852019
79,41.47545,23.316845,-0.15861489,-0.15861489
80,41.47372,23.314125,-0.15869296,-0.15869296
81,41.47204,23.31139,-0.1587498,-0.1587498
82,41.47037,23.308664,-0.15878358,-0.15878358
83,41.468758,23.305984,-0.15880668,-0.15880668
84,41.467205,23.303286,-0.15880692,-0.15880692
85,41.46573,23.300667,-0.15880477,-0.15880477
86,41.46431,23.298016,-0.15878272,-0.15878272
87,41.46298,23.295464,-0.15876597,-0.15876597
88,41.4617,23.292864,-0.15873428,-0.15873428
89,41.4605,23.290375,-0.15872002,-0.15872002
90,41.45933,23.28782,-0.15869854,-0.15869854
91,41.45822,23.285389,-0.1586928,-0.1586928
92,41.457138,23.282959,-0.15869106,-0.15869106
93,41.456085,23.280613,-0.15866457,-0.15866457
94,41.455063,23.278347,-0.15862973,-0.15862973
95,41.45406,23.276129,-0.15860055,-0.15860055
96,41.45307,23.27398,-0.15858386,-0.15858386
97,41.452095,23.271862,-0.15856293,-0.15856293
98,41.451145,23.269852,-0.15855664,-0.15855664
99,41.4502,23.267849,-0.15854704,-0.15854704
100,41.44927,23.265896,-0.1585465,-0.1585465
101,41.44835,23.26397,-0.15854396,-0.15854396
102,41.44744,23.262096,-0.15855001,-0.15855001
103,41.44653,23.260246,-0.15854919,-0.15854919
104,41.445637,23.258469,-0.15855812,-0.15855812
105,41.444748,23.256702,-0.15855885,-0.15855885
106,41.44388,23.255,-0.15856603,-0.15856603
107,41.443012,23.253307,-0.15856716,-0.15856716
108,41.44216,23.251665,-0.15857182,-0.15857182
109,41.441315,23.250036,-0.15857042,-0.15857042
110,41.44049,23.248455,-0.15857205,-0.15857205
111,41.439674,23.246891,-0.15856765,-0.15856765
112,41.438877,23.245369,-0.15856493,-0.15856493
113,41.438095,23.243864,-0.15855804,-0.15855804
114,41.437325,23.242393,-0.1585513,-0.1585513
115,41.436565,23.240944,-0.15854177,-0.15854177
116,41.435802,23.239525,-0.15853217,-0.15853217
117,41.43505,23.238129,-0.15852039,-0.15852039
118,41.434326,23.236763,-0.15850878,-0.15850878
119,41.433617,23.235416,-0.15849563,-0.15849563
120,41.43292,23.2341,-0.15848269,-0.15848269
121,41.432243,23.232807,-0.15846935,-0.15846935
122,41.43158,23.23154,-0.15845637,-0.15845637
123,41.43093,23.230293,-0.15844299,-0.15844299
