,child value,parent value,action effect,child action
0,155.23347,137.93027,0.6666667,0.8367612
1,156.58794,114.56782,-0.109842084,0.8233233
2,152.3009,124.69601,-0.43640947,-0.12469596
3,152.12935,126.54577,-0.65350384,-1.0036664
4,161.47545,129.3743,0.41731873,1.2475089
5,161.85422,139.05608,-0.43027067,0.68554115
6,165.62326,140.73422,0.13257591,1.710391
7,165.85683,130.90074,-0.15404561,0.25983614
8,170.97168,134.2557,0.06963527,0.94547844
9,169.18385,140.561,0.112856455,0.9528745
10,167.95912,147.53352,0.43994498,1.4372853
11,163.75081,143.98224,0.34959522,1.5476776
12,162.06384,132.49524,0.09831367,0.99304676
13,158.87129,135.77345,-0.8135712,-0.7424874
14,161.53873,126.80474,-0.312139,0.39110997
15,166.92198,129.55115,0.22213149,1.0451001
16,168.96814,121.540245,0.35879147,1.6325296
17,169.21198,138.97903,0.24802168,1.2950892
18,172.39748,138.03798,-0.05904748,0.5912824
19,173.97797,137.74323,0.059082787,1.6058521
20,170.89699,142.13266,0.005292108,0.8125251
21,164.35396,138.25383,-0.044153765,0.78791505
22,162.40067,134.9845,0.057783205,0.90468353
23,159.42265,136.1395,0.094381325,0.6100524
24,162.85849,138.07085,0.32873297,1.1941674
25,166.38051,139.23306,0.14978859,1.2305827
26,167.94125,140.77405,0.23396496,1.3087031
27,171.4873,141.66356,-0.0021760862,1.2027441
28,173.95677,141.84895,-0.055004995,1.2397355
29,175.52672,145.63605,-0.038921356,1.3417139
30,178.01167,143.95555,0.039655555,1.2130636
31,178.20576,145.96893,0.048700426,0.84367496
32,178.81093,147.80838,0.029155456,0.6802888
33,179.66197,147.43459,0.18170857,0.58661777
34,180.72293,147.55771,0.2397179,0.60996306
35,181.69135,147.76212,0.2600332,0.6287337
36,182.86632,148.16641,0.2921627,0.6115324
37,183.94272,148.01591,0.3022371,0.6154976
38,185.24126,148.44238,0.29615042,0.60462433
39,186.44783,148.7865,0.30984673,0.6081558
40,187.68327,149.04303,0.2997636,0.6071901
41,188.91919,149.40497,0.31197593,0.6168526
42,190.18349,149.52132,0.30451474,0.6249035
43,191.44646,149.82013,0.31235275,0.63565546
44,192.7404,150.05902,0.3071153,0.64407796
45,194.06995,150.37607,0.3157997,0.6537672
46,195.3831,150.72226,0.31778857,0.6623634
47,196.7417,151.04141,0.32189536,0.6675078
48,198.11382,151.39487,0.3257859,0.6707732
49,199.46658,151.73907,0.320362,0.66421443
